Vehicle_ID,Frame_ID,Tot_Frames,Epoch_ms,Local_X,Local_Y,Global_X,Global_Y,Veh_Len,Veh_Wid,Veh_Class,Veh_Velocity,Vehicle_Acc,Lane_ID,Org_Zone,Dest_Zone,Intersection,Section,Direction,Movement,Preceding_Veh,Following_Veh,Spacing,Headway
415,2651,1720,1163295400,-21.171,2063.558,2230769.98,1377518.822,15.6,6.0,2,26.92,0.0,2,114,201,5,0,4,1,379,0,795.73,29.56
418,2673,903,1163297600,-6.444,2053.16,2230786.124,1377510.799,14.6,6.0,2,32.81,0.0,1,114,202,5,0,4,1,405,0,105.19,3.21
419,2689,1602,1163299200,-8.666,2054.22,2230783.766,1377511.507,16.1,6.5,2,33.67,0.0,1,114,201,5,0,4,1,413,0,100.75,2.99
420,2715,1603,1163301800,-8.452,2062.216,2230782.754,1377519.4419999998,14.6,6.5,2,23.91,0.0,1,114,201,5,0,4,1,419,0,94.35,3.95
423,2737,779,1163304000,-21.155,2054.805,2230771.335,1377510.174,17.0,6.5,2,21.45,0.0,2,115,222,5,0,4,3,0,0,0.0,0.0
424,2737,141,1163304000,-11.390999999999998,2064.547,2230779.4930000002,1377521.295,13.2,6.6,2,37.02,0.0,1,114,212,5,0,4,1,419,0,167.77,4.53
432,2753,1355,1163305600,-21.325,2057.81,2230770.707,1377513.118,14.0,6.0,2,21.82,0.0,2,114,202,5,0,4,1,415,0,280.45,12.85
443,2757,1574,1163306000,-13.587,2066.493,2230777.025,1377522.8830000001,15.5,7.0,2,37.46,0.0,1,114,201,5,0,4,1,420,0,134.54,3.59
449,2785,1564,1163308800,-10.592,2057.0229999999997,2230781.434,1377513.9819999998,15.0,6.5,2,33.16,0.0,1,114,201,5,0,4,1,443,0,94.98,2.86
450,2785,393,1163308800,-22.717,2061.849,2230768.713,1377516.896,17.0,7.0,2,20.1,0.0,2,114,221,5,0,4,1,432,0,73.77,3.67
451,2809,26,1163311200,-30.648000000000003,174.421,2230492.065,1375712.3190000001,17.5,6.5,2,22.22,-4.82,0,123,223,1,0,2,2,0,0,0.0,0.0
455,2813,598,1163311600,-27.345,704.159,2230552.785,1376238.469,16.6,6.5,2,13.79,-0.98,0,122,201,2,0,4,3,0,0,0.0,0.0
460,2813,1619,1163311600,-10.227,2052.011,2230782.562,1377509.085,16.0,6.5,2,38.12,0.0,1,114,201,5,0,4,1,449,0,88.19,2.31
461,2813,1568,1163311600,-21.241999999999997,2051.556,2230771.746,1377506.95,15.1,6.5,2,21.37,0.0,2,115,201,5,0,4,3,0,0,0.0,0.0
464,2828,1603,1163313100,-21.954,2062.3289999999997,2230769.394,1377517.487,16.0,6.5,2,19.89,0.0,2,114,201,5,0,4,1,450,0,86.98,4.37
468,2840,1296,1163314300,-10.802,2058.529,2230780.996,1377515.438,16.0,7.0,2,38.34,0.0,1,114,202,5,0,4,1,460,0,106.42,2.78
475,2851,1533,1163315400,-22.823,2057.617,2230769.256,1377512.698,15.0,7.0,2,19.6,0.0,2,115,223,5,0,4,3,0,0,0.0,0.0
476,2987,154,1163329000,-5.215,161.92,2230514.955,1375695.8080000002,14.3,7.2,2,33.06,-12.27,0,102,201,1,0,4,2,0,0,0.0,0.0
480,2863,1592,1163316600,-9.972000000000001,2061.508,2230781.361,1377518.509,15.7,6.8,2,36.45,0.0,1,114,201,5,0,4,1,468,0,91.14,2.5
483,2868,1557,1163317100,-22.035,2059.33,2230769.773,1377514.511,16.3,6.6,2,33.0,0.0,2,114,201,5,0,4,1,464,0,85.53,2.59
486,2882,160,1163318500,-10.923,2054.03,2230781.565,1377510.9740000002,16.5,7.0,2,35.83,0.0,1,114,212,5,0,4,1,464,0,116.22,3.24
488,2882,59,1163318500,-2.434,2062.806,2230788.611,1377520.945,16.5,6.5,2,11.54,0.0,11,114,213,5,0,4,2,0,0,0.0,0.0
489,2883,138,1163318600,23.995,56.038999999999994,2230533.163,1375587.7580000001,17.0,7.0,2,23.22,0.0,2,101,202,0,1,2,1,410,0,589.49,25.39
491,2914,1629,1163321700,4.543,219.47299999999998,2230534.673,1375750.801,17.5,6.5,2,18.4,-1.64,0,123,215,1,0,2,2,0,0,0.0,0.0
492,2892,320,1163319500,-16.616,2056.1839999999997,2230775.609,1377512.231,16.2,6.6,2,33.75,0.0,1,114,212,5,0,4,1,480,0,98.9,2.93
496,2920,704,1163322300,-19.695999999999998,2053.264,2230773.012,1377508.875,16.5,6.5,2,35.16,0.0,2,115,222,5,0,4,3,0,0,0.0,0.0
497,2924,439,1163322700,-10.632,2055.5229999999997,2230781.624,1377512.494,15.5,6.5,2,43.65,0.0,1,114,212,5,0,4,1,492,0,104.33,2.39
499,2945,5,1163324800,3.614,88.204,2230515.453,1375621.468,17.0,7.0,2,0.0,0.0,11,101,201,0,1,2,1,0,0,0.0,0.0
500,2947,1540,1163325000,-12.145,2055.063,2230780.199,1377511.8080000002,16.0,6.5,2,41.86,0.0,1,114,201,5,0,4,1,497,0,98.24,2.35
503,2952,19,1163325500,-17.808,133.086,2230497.736,1375667.937,14.5,6.7,2,25.02,0.0,2,101,201,0,1,4,1,0,290,0.0,0.0
504,2942,39,1163324500,2.037,2061.686,2230793.201,1377520.523,14.2,6.6,2,19.09,0.0,11,114,213,5,0,4,2,0,0,0.0,0.0
505,2961,29,1163326400,-1.5490000000000002,2058.531,2230790.14,1377516.856,16.6,6.5,2,21.69,0.0,11,114,213,5,0,4,2,0,0,0.0,0.0
509,2969,1536,1163327200,-11.435,2053.544,2230781.133,1377510.415,15.0,7.0,2,40.74,0.0,1,114,201,5,0,4,1,500,0,91.34,2.24
